sno	Collected_Protein_name	Uniprot_Name	Uniprot_ID	Approved_Symbol	Gene_Identifier	Approved_Protein_Name	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
82	Cyclin D1	CCND1_HUMAN	P24385	CCND1	HGNC:1582	G1/S-specific cyclin-D1	Human	Protein	19709099	Homo sapiens				Buttock skin	Total body irradiation (TBI); Buttock skin	Tissue	UVB-radiation		1200	In vivo	No irradiation	264	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
83	JunB	JUNB_RAT	P24898	Junb	RGD:2944	Transcription factor JunB	Rat	Protein	10396203	Rattus norvegicus	Sprague-Dawley	Male		Cornea	Right eye of an intact animal	Tissue	UVA-radiation	140	15000	In vivo	No irradiation	6	Proteomics	Immunofluorescence	Up	cornea	UBERON_0000964	Uberon Ontology	
84	Urocortin	UCN1_MOUSE	P81615	Ucn	MGI:1276123	Urocortin	Mouse	Protein	23962689	Mus musculus	C57BL/6	Female	Neonate	Dermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	dermis	UBERON_0002067	Uberon Ontology	
85	beta-endorphin	COLI_MOUSE	P01193	Pomc	MGI:97742	Pro-opiomelanocortin	Mouse	Protein	23962689	Mus musculus	C57BL/6	Female	Neonate	Dermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	dermis	UBERON_0002067	Uberon Ontology	
86	CYP11A1	CP11A_MOUSE	Q9QZ82	Cyp11a1	MGI:88582	Cholesterol side-chain cleavage enzyme, mitochondrial	Mouse	Protein	23962689	Mus musculus	C57BL/6	Female	Neonate	Dermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	dermis	UBERON_0002067	Uberon Ontology	
87	CYP11A1	CP11A_MOUSE	Q9QZ82	Cyp11a1	MGI:88582	Cholesterol side-chain cleavage enzyme, mitochondrial	Mouse	Protein	23962689	Mus musculus	DBA/2J	Female	Neonate	Dermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	dermis	UBERON_0002067	Uberon Ontology	
88	beta-endorphin	COLI_MOUSE	P01193	Pomc	MGI:97742	Pro-opiomelanocortin	Mouse	Protein	23962689	Mus musculus	DBA/2J	Female	Neonate	Dermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	dermis	UBERON_0002067	Uberon Ontology	
89	Urocortin	UCN1_MOUSE	P81615	Ucn	MGI:1276123	Urocortin	Mouse	Protein	23962689	Mus musculus	DBA/2J	Female	Neonate	Dermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	dermis	UBERON_0002067	Uberon Ontology	
90	Urocortin	UCN1_MOUSE	P81615	Ucn	MGI:1276123	Urocortin	Mouse	Protein	23962689	Mus musculus	DBA/2J	Female	Neonate	Epidermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
91	beta-endorphin	COLI_MOUSE	P01193	Pomc	MGI:97742	Pro-opiomelanocortin	Mouse	Protein	23962689	Mus musculus	C57BL/6	Female	Neonate	Epidermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
92	Urocortin	UCN1_MOUSE	P81615	Ucn	MGI:1276123	Urocortin	Mouse	Protein	23962689	Mus musculus	C57BL/6	Female	Neonate	Epidermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
93	beta-endorphin	COLI_MOUSE	P01193	Pomc	MGI:97742	Pro-opiomelanocortin	Mouse	Protein	23962689	Mus musculus	DBA/2J	Female	Neonate	Epidermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
94	CYP11A1	CP11A_MOUSE	Q9QZ82	Cyp11a1	MGI:88582	Cholesterol side-chain cleavage enzyme, mitochondrial	Mouse	Protein	23962689	Mus musculus	DBA/2J	Female	Neonate	Epidermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
95	CYP11A1	CP11A_MOUSE	Q9QZ82	Cyp11a1	MGI:88582	Cholesterol side-chain cleavage enzyme, mitochondrial	Mouse	Protein	23962689	Mus musculus	C57BL/6	Female	Neonate	Epidermis of skin	Back skin	Tissue	UVB-radiation		4000	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
96	Caspase 3	CASP3_RAT	P55213	Casp3	RGD:2275	Caspase-3	Rat	Protein	24698086	Rattus norvegicus	Sprague Dawley-Albino	Female	0.12	Eyes	Eyes of an intact animal	Tissue	UV radiation-General		1000	In vivo	No irradiation	16	Proteomics	Immunolocalization	Up	eye	UBERON_0000970	Uberon Ontology	
97	Ferritin	FTMT_HUMAN	Q8N4E7	FTMT	HGNC:17345	Ferritin, mitochondrial	Human	Protein	9665404	Homo sapiens		Both	25-94	Fibroblasts	Fibroblasts	Cell	UVA-radiation	600-800	25000	In vitro	No irradiation	6	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
98	Ferritin	FTMT_HUMAN	Q8N4E7	FTMT	HGNC:17345	Ferritin, mitochondrial	Human	Protein	8555014	Homo sapiens			25-38	Fibroblasts	Fibroblasts	Cell	UVA-radiation	300	750000	In vitro	No irradiation	24	Proteomics	ELISA	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
99	Ferritin	FTMT_HUMAN	Q8N4E7	FTMT	HGNC:17345	Ferritin, mitochondrial	Human	Protein	8555014	Homo sapiens			25-38	Fibroblasts	Fibroblasts	Cell	UVA-radiation	300	1000000	In vitro	No irradiation	24	Proteomics	ELISA	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
100	Ferritin	FTMT_HUMAN	Q8N4E7	FTMT	HGNC:17345	Ferritin, mitochondrial	Human	Protein	9665404	Homo sapiens		Both	25-94	Fibroblasts	Fibroblasts	Cell	UVA-radiation	600-800	25000	In vitro	No irradiation	48	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
101	Ferritin	FTMT_HUMAN	Q8N4E7	FTMT	HGNC:17345	Ferritin, mitochondrial	Human	Protein	8555014	Homo sapiens			25-38	Fibroblasts	Fibroblasts	Cell	UVA-radiation	300	250000	In vitro	No irradiation	48	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
102	Ferritin	FTMT_HUMAN	Q8N4E7	FTMT	HGNC:17345	Ferritin, mitochondrial	Human	Protein	9665404	Homo sapiens		Both	25-94	Fibroblasts	Fibroblasts	Cell	UVA-radiation	600-800	25000	In vitro	No irradiation	24	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
103	Ferritin	FTMT_HUMAN	Q8N4E7	FTMT	HGNC:17345	Ferritin, mitochondrial	Human	Protein	8555014	Homo sapiens			25-38	Fibroblasts	Fibroblasts	Cell	UVA-radiation	300	500000	In vitro	No irradiation	24	Proteomics	ELISA	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
104	Ferritin	FTMT_HUMAN	Q8N4E7	FTMT	HGNC:17345	Ferritin, mitochondrial	Human	Protein	8555014	Homo sapiens			25-38	Fibroblasts	Fibroblasts	Cell	UVA-radiation	300	250000	In vitro	No irradiation	24	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
105	p16	CDN2A_HUMAN	P42771	CDKN2A	HGNC:1787	cyclin dependent kinase inhibitor 2A	Human	Protein	10485451	Homo sapiens			Neonate	Foreskin	Foreskin	Tissue	UVC-radiation		10	In vitro	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
106	p16	CDN2A_HUMAN	P42771	CDKN2A	HGNC:1787	cyclin dependent kinase inhibitor 2A	Human	Protein	10485451	Homo sapiens			Neonate	Foreskin	Foreskin	Tissue	UVB-radiation		250	In vitro	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
107	p16	CDN2A_HUMAN	P42771	CDKN2A	HGNC:1787	cyclin dependent kinase inhibitor 2A	Human	Protein	10485451	Homo sapiens			Neonate	Foreskin	Foreskin	Tissue	UVB-radiation		150	In vitro	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
108	p16	CDN2A_HUMAN	P42771	CDKN2A	HGNC:1787	cyclin dependent kinase inhibitor 2A	Human	Protein	10485451	Homo sapiens			Neonate	Foreskin	Foreskin	Tissue	UVB-radiation		875	In vitro	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
109	p16	CDN2A_HUMAN	P42771	CDKN2A	HGNC:1787	cyclin dependent kinase inhibitor 2A	Human	Protein	10485451	Homo sapiens			Neonate	Foreskin	Foreskin	Tissue	UVC-radiation		20	In vitro	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
110	ACTH	COLI_HUMAN	P01189	POMC	HGNC:9201	Pro-opiomelanocortin	Human	Protein	19158839	Homo sapiens		Female		Hair bulb keratinocytes	Normal human anagen VI hair follicles	Cell	UVB-radiation		500	In vitro	No irradiation	120	Proteomics	Immunohistochemistry	Down	keratinocyte	CL_0000312	Cell Ontology	
111	Tyrosinase	TYRO_MOUSE	P11344	Tyr	MGI:98880	tyrosinase	Mouse	Protein	22391242	Mus musculus	C57BL/6			Hair follicle-derived neural crest stem cells	Hair follicle-derived neural crest stem cells	Cell	UVB-radiation	130	6000	In vitro	No irradiation		Proteomics	Western blot	Up	hair follicle melanocyte	CL_0002483	Cell Ontology	
112	Tyrosinase	TYRO_MOUSE	P11344	Tyr	MGI:98880	tyrosinase	Mouse	Protein	22391242	Mus musculus	C57BL/6			Hair follicle-derived neural crest stem cells	Hair follicle-derived neural crest stem cells	Cell	UVB-radiation	130	7000	In vitro	No irradiation		Proteomics	Western blot	Up	hair follicle melanocyte	CL_0002483	Cell Ontology	
113	Tyrosinase	TYRO_MOUSE	P11344	Tyr	MGI:98880	tyrosinase	Mouse	Protein	22391242	Mus musculus	C57BL/6			Hair follicle-derived neural crest stem cells	Hair follicle-derived neural crest stem cells	Cell	UVB-radiation	130	5000	In vitro	No irradiation		Proteomics	Western blot	Up	hair follicle melanocyte	CL_0002483	Cell Ontology	
114	PSD-95	DLG4_MOUSE	Q62108	Dlg4	MGI:1277959	Disks large homolog 4	Mouse	Protein	29138442	Mus musculus	C57BL/6	Female	0.1	Hippocampus	Dorsal skin	Tissue	UV radiation-General		9000	In vivo	No irradiation	12	Proteomics	Western blot	Down				
115	CYP11B1	Q3TG86_MOUSE	Q3TG86	Cyp11b1	MGI:88583	Q3TG86_MOUSE	Mouse	Protein	29138442	Mus musculus	C57BL/6	Female	0.1	Hippocampus	Dorsal skin	Tissue	UV radiation-General		9000	In vivo	No irradiation	12	Proteomics	ELISA	Up				
116	NMDAR2A	NMDE1_MOUSE	P35436	Grin2a	MGI:95820	Glutamate receptor ionotropic, NMDA 2A	Mouse	Protein	29138442	Mus musculus	C57BL/6	Female	0.1	Hippocampus	Dorsal skin	Tissue	UV radiation-General		9000	In vivo	No irradiation	12	Proteomics	Western blot	Down				
117	DCX	DCX_MOUSE	O88809	Dcx	MGI:1277171	Neuronal migration protein doublecortin	Mouse	Protein	29138442	Mus musculus	C57BL/6	Female	0.1	Hippocampus	Dorsal skin	Tissue	UV radiation-General		9000	In vivo	No irradiation	12	Proteomics	Western blot	Down				
118	POMC	COLI_MOUSE	P01193	Pomc	MGI:97742	Pro-opiomelanocortin	Mouse	Protein	29138442	Mus musculus	C57BL/6	Female	0.1	Hippocampus	Dorsal skin	Tissue	UV radiation-General		9000	In vivo	No irradiation	12	Proteomics	ELISA	Up				
119	UCN	UCN1_MOUSE	P81615	Ucn	MGI:1276123	Urocortin	Mouse	Protein	29138442	Mus musculus	C57BL/6	Female	0.1	Hippocampus	Dorsal skin	Tissue	UV radiation-General		9000	In vivo	No irradiation	12	Proteomics	ELISA	Up				
120	MC2R	ACTHR_MOUSE	Q64326	Mc2r	MGI:96928	Adrenocorticotropic hormone receptor	Mouse	Protein	29138442	Mus musculus	C57BL/6	Female	0.1	Hippocampus	Dorsal skin	Tissue	UV radiation-General		9000	In vivo	No irradiation	12	Proteomics	ELISA	Up				
121	HSP27	HSPB1_HUMAN	P04792	HSPB1	HGNC:5246	Heat shock protein beta-1	Human	Protein	17102673	Homo sapiens				Human adult corneal epithelial cells	Human adult corneas	Cell	UV radiation-General	2.1		In vitro	No irradiation		Proteomics	Immunofluorescence	Up	corneal epithelial cell	CL_0000575	Cell Ontology	
122	HO-1	HMOX1_HUMAN	P09601	HMOX1	HGNC:5013	heme oxygenase 1	Human	Protein	18311331	Homo sapiens				Human dermal fibroblasts	Human dermal fibroblasts	Cell	UVA-radiation	50.7		In vitro	No irradiation	336	Proteomics	Method of Griffith	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
123	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	14626663	Homo sapiens		Both	53.10-60.30	Human dermal fibroblasts	Human dermal fibroblasts	Cell	UVA-radiation		80000	In vivo	No irradiation	48	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
124	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	14626663	Homo sapiens		Both	53.10-60.30	Human dermal fibroblasts	Human dermal fibroblasts	Cell	UVA-radiation		60000	In vivo	No irradiation	48	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
125	c-Jun	JUN_HUMAN	P05412	JUN	HGNC:6204	Transcription factor Jun	Human	Protein	22508041	Homo sapiens				Human dermal fibroblasts	Human dermal fibroblasts	Cell	UVA-radiation	200	75000	In vitro	No irradiation	2	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
126	c-Jun	JUN_HUMAN	P05412	JUN	HGNC:6204	Transcription factor Jun	Human	Protein	22508041	Homo sapiens				Human dermal fibroblasts	Human dermal fibroblasts	Cell	UVA-radiation	200	25000	In vitro	No irradiation	2	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
127	c-Jun	JUN_HUMAN	P05412	JUN	HGNC:6204	Transcription factor Jun	Human	Protein	22508041	Homo sapiens				Human dermal fibroblasts	Human dermal fibroblasts	Cell	UVA-radiation	200	50000	In vitro	No irradiation	2	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
128	DDB2	DDB2_HUMAN	Q92466	DDB2	HGNC:2718	DNA damage-binding protein 2	Human	Protein	29448173	Homo sapiens	Healthy		18-38	Human diploid fibroblasts	Human diploid fibroblasts	Cell	UVB-radiation		400	In vitro	No irradiation	24	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
129	XPC	XPC_HUMAN	Q01831	XPC	HGNC:12816	DNA repair protein complementing XP-C cells	Human	Protein	29448173	Homo sapiens	Healthy		18-38	Human diploid fibroblasts	Human diploid fibroblasts	Cell	UVB-radiation		1125	In vitro	No irradiation	24	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
130	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	29448173	Homo sapiens	Healthy		18-38	Human diploid fibroblasts	Human diploid fibroblasts	Cell	UVB-radiation		1125	In vitro	No irradiation	24	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
131	JNK	MK08_HUMAN	P45983	MAPK8	HGNC:6881	mitogen-activated protein kinase 8	Human	Protein	8876670	Homo sapiens				Human diploid fibroblasts	Human diploid fibroblasts	Cell	UVC-radiation		40	In vitro	No irradiation	0.5	Proteomics	Immunokinase assay	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
132	XPC	XPC_HUMAN	Q01831	XPC	HGNC:12816	DNA repair protein complementing XP-C cells	Human	Protein	29448173	Homo sapiens	Healthy		18-38	Human diploid fibroblasts	Human diploid fibroblasts	Cell	UVB-radiation		400	In vitro	No irradiation	24	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
133	DDB2	DDB2_HUMAN	Q92466	DDB2	HGNC:2718	DNA damage-binding protein 2	Human	Protein	29448173	Homo sapiens	Healthy		18-38	Human diploid fibroblasts	Human diploid fibroblasts	Cell	UVB-radiation		1125	In vitro	No irradiation	24	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
134	COX-2	COX2_HUMAN	P00403	MT-CO2	HGNC:7421	Cytochrome c oxidase subunit 2	Human	Protein	9635856	Homo sapiens				Human keratinocyte culture	Human keratinocyte culture	Cell	UVB-radiation	10	300	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
135	COX-2	COX2_HUMAN	P00403	MT-CO2	HGNC:7421	Cytochrome c oxidase subunit 2	Human	Protein	9635856	Homo sapiens				Human keratinocyte culture	Human keratinocyte culture	Cell	UVB-radiation	10	300	In vitro	No irradiation	24	Proteomics	Immunofluorescence	Up	keratinocyte	CL_0000312	Cell Ontology	
136	COX-2	COX2_HUMAN	P00403	MT-CO2	HGNC:7421	Cytochrome c oxidase subunit 2	Human	Protein	9635856	Homo sapiens				Human keratinocyte culture	Human keratinocyte culture	Cell	UVB-radiation	10	300	In vitro	No irradiation	6	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
137	RAR-g	RARG_HUMAN	P13631	RARG	HGNC:9866	retinoic acid receptor gamma	Human	Protein	14705796	Homo sapiens	Healthy Caucasian		1-15	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	8	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
138	GADD45	GA45A_HUMAN	P24522	GADD45A	HGNC:4095	Growth arrest and DNA damage-inducible protein GADD45 alpha	Human	Protein	12447616	Homo sapiens				Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		3000000	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
139	GADD45	GA45A_HUMAN	P24522	GADD45A	HGNC:4095	Growth arrest and DNA damage-inducible protein GADD45 alpha	Human	Protein	12447616	Homo sapiens				Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		3000000	In vitro	No irradiation	48	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
140	RXR-a	RXRA_HUMAN	P19793	RXRA	HGNC:10477	Retinoic acid receptor RXR-alpha	Human	Protein	14705796	Homo sapiens	Healthy Caucasian		1-15	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	2	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
141	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	12447616	Homo sapiens				Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		6000000	In vitro	No irradiation	48	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
142	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	12447616	Homo sapiens				Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		3000000	In vitro	No irradiation	48	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
143	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	12447616	Homo sapiens				Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		6000000	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
144	RAR-g	RARG_HUMAN	P13631	RARG	HGNC:9866	retinoic acid receptor gamma	Human	Protein	14705796	Homo sapiens	Healthy Caucasian		1-15	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	2	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
145	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	12447616	Homo sapiens				Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		3000000	In vitro	No irradiation	8	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
146	GADD45	GA45A_HUMAN	P24522	GADD45A	HGNC:4095	Growth arrest and DNA damage-inducible protein GADD45 alpha	Human	Protein	12447616	Homo sapiens				Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		3000000	In vitro	No irradiation	8	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
147	RAR-a	RARA_HUMAN	P10276	RARA	HGNC:9864	retinoic acid receptor alpha	Human	Protein	14705796	Homo sapiens	Healthy Caucasian		1-15	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	72	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
148	RAR-g	RARG_HUMAN	P13631	RARG	HGNC:9866	retinoic acid receptor gamma	Human	Protein	14705796	Homo sapiens	Healthy Caucasian		1-15	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
149	RAR-g	RARG_HUMAN	P13631	RARG	HGNC:9866	retinoic acid receptor gamma	Human	Protein	14705796	Homo sapiens	Healthy Caucasian		1-15	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	48	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
150	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	12447616	Homo sapiens				Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		3000000	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
151	Caspase-3	CASP3_HUMAN	P42574	CASP3	HGNC:1504	Caspase-3	Human	Protein	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	2		In vitro	No irradiation	2	Proteomics	Western blot	Up	lens epithelial cell	CL_0002224	Cell Ontology	
152	Caspase-3	CASP3_HUMAN	P42574	CASP3	HGNC:1504	Caspase-3	Human	Protein	25445170	Homo sapiens				Human lens epithelial cell lines (HLEC)	Human lens epithelial cell lines (HLEC)	Cell	UVB-radiation	1		In vitro	No irradiation	2	Proteomics	Western blot	Up	lens epithelial cell	CL_0002224	Cell Ontology	
153	c-fos	FOS_HUMAN	P01100	FOS	HGNC:3796	Protein c-Fos	Human	Protein	7664278	Homo sapiens				Human melanocytes	Human melanocytes	Cell	UVB-radiation		350	In vitro	No irradiation	8	Proteomics	Western blot	Up	melanocyte	CL_0000148	Cell Ontology	
154	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	7664278	Homo sapiens				Human melanocytes	Human melanocytes	Cell	UVB-radiation		350	In vitro	No irradiation	4	Proteomics	Western blot	Up	melanocyte	CL_0000148	Cell Ontology	
