sno	Collected_Gene_name	Approved_Symbol	Gene_Identifier	Approved_Name	Ensembl_Gene_ID	NCBI_Gene_ID	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
82	Skb1 Human homolog	PRMT5	HGNC:10894	protein arginine methyltransferase 5	ENSG00000100462	10419	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
83	human bullous pemphigoid antigen (BP AG1)	DST	HGNC:1090	dystonin	ENSG00000151914	667	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
84	SLC4A7	SLC4A7	HGNC:11033	solute carrier family 4 member 7	ENSG00000033867	9497	Human	Gene	18797132	Homo sapiens	Japanese			Blood	Total body irradiation except face and genital region	Tissue	UVB-radiation		3000	In vivo	No irradiation	24	Genomics	Microarray	Down	blood	UBERON_0000178	Uberon Ontology	
85	SLC7A11	SLC7A11	HGNC:11059	solute carrier family 7 member 11	ENSG00000151012	23657	Human	Gene	20147966	Homo sapiens	Fitzpatrick skin type II-III	Both	21-56	Biopsy of exposed skin	Skin	Tissue	UVB-radiation			In vivo	No irradiation	96	Genomics	Microarray	Down	skin of body	UBERON_0002097	Uberon Ontology	
86	XCT	SLC7A11	HGNC:11059	solute carrier family 7 member 11	ENSG00000151012	23657	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Up	lens epithelial cell	CL_0002224	Cell Ontology	
87	BRE	BABAM2	HGNC:1106	BRISC and BRCA1 A complex member 2	ENSG00000158019	9577	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
88	BRE	BABAM2	HGNC:1106	BRISC and BRCA1 A complex member 2	ENSG00000158019	9577	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
89	GX	SMO	HGNC:11119	smoothened, frizzled class receptor	ENSG00000128602	6608	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	1	Genomics	Northern blot	Down	keratinocyte	CL_0000312	Cell Ontology	
90	GX	SMO	HGNC:11119	smoothened, frizzled class receptor	ENSG00000128602	6608	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	24	Genomics	Northern blot	Down	keratinocyte	CL_0000312	Cell Ontology	
91	GX	SMO	HGNC:11119	smoothened, frizzled class receptor	ENSG00000128602	6608	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	6	Genomics	Northern blot	Down	keratinocyte	CL_0000312	Cell Ontology	
92	Sm protein F	SNRPF	HGNC:11162	small nuclear ribonucleoprotein polypeptide F	ENSG00000139343	6636	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
93	superoxide dismutase	SOD1	HGNC:11179	superoxide dismutase 1	ENSG00000142168	6647	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
94	SORT1	SORT1	HGNC:11186	sortilin 1	ENSG00000134243	6272	Human	Gene	22761785	Homo sapiens		Male	22.40-45.40	Skin from exposed buttock region	Medial buttock region	Tissue	UVC-radiation		2560	In vivo	No irradiation	3	Genomics	qPCR	Down	skin of body	UBERON_0002097	Uberon Ontology	
95	SOS1	SOS1	HGNC:11187	SOS Ras/Rac guanine nucleotide exchange factor 1	ENSG00000115904	6654	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
96	SOX4	SOX4	HGNC:11200	SRY-box transcription factor 4	ENSG00000124766	6659	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	12	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
97	SOX4	SOX4	HGNC:11200	SRY-box transcription factor 4	ENSG00000124766	6659	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	6	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
98	SPR2	SP3	HGNC:11208	Sp3 transcription factor	ENSG00000172845	6670	Human	Gene	1469287	Homo sapiens	Sun exposed		19-48	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		160	In vitro	No irradiation	24	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
99	SPR2	SP3	HGNC:11208	Sp3 transcription factor	ENSG00000172845	6670	Human	Gene	1469287	Homo sapiens	Neonate		63-73	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		160	In vitro	No irradiation	24	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
100	SPR2	SP3	HGNC:11208	Sp3 transcription factor	ENSG00000172845	6670	Human	Gene	1469287	Homo sapiens	Sun exposed		63-73	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		160	In vitro	No irradiation	24	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
101	SPR2	SP3	HGNC:11208	Sp3 transcription factor	ENSG00000172845	6670	Human	Gene	1469287	Homo sapiens	Sun protected		63-73	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		160	In vitro	No irradiation	24	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
102	SPR2	SP3	HGNC:11208	Sp3 transcription factor	ENSG00000172845	6670	Human	Gene	1469287	Homo sapiens	Neonate		19-48	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		160	In vitro	No irradiation	24	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
103	SPR2	SP3	HGNC:11208	Sp3 transcription factor	ENSG00000172845	6670	Human	Gene	1469287	Homo sapiens	Sun protected		19-48	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		160	In vitro	No irradiation	24	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
104	Osteonectin	SPARC	HGNC:11219	secreted protein acidic and cysteine rich	ENSG00000113140	6678	Human	Gene	18425358	Homo sapiens				Human skin fibroblasts	Human skin fibroblasts	Cell	UVB-radiation		100	In vitro	No irradiation	72	Genomics	RT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
105	BTF3 homolog	BTF3P11	HGNC:1126	basic transcription factor 3 pseudogene 11	ENSG00000118903	690	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
106	SPRR2E	SPRR2E	HGNC:11265	small proline rich protein 2E	ENSG00000203785	6704	Human	Gene	28211524	Homo sapiens	Caucasian		Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	72	Genomics	RNA-seq	Up	keratinocyte	CL_0000312	Cell Ontology	
107	LCB2	SPTLC2	HGNC:11278	serine palmitoyltransferase long chain base subunit 2	ENSG00000100596	9517	Human	Gene	9788249	Homo sapiens				Neonatal human foreskin keratinocytes	Neonatal human foreskin keratinocytes	Cell	UVB-radiation		230	In vitro	No irradiation	72	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
108	LCB2	SPTLC2	HGNC:11278	serine palmitoyltransferase long chain base subunit 2	ENSG00000100596	9517	Human	Gene	9788249	Homo sapiens				Neonatal human foreskin keratinocytes	Neonatal human foreskin keratinocytes	Cell	UVB-radiation		230	In vitro	No irradiation	48	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
109	LCB2	SPTLC2	HGNC:11278	serine palmitoyltransferase long chain base subunit 2	ENSG00000100596	9517	Human	Gene	9788249	Homo sapiens				Neonatal human foreskin keratinocytes	Neonatal human foreskin keratinocytes	Cell	UVB-radiation		230	In vitro	No irradiation	24	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
110	sorcin CP-22	SRI	HGNC:11292	sorcin	ENSG00000075142	6717	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
111	BTG2	BTG2	HGNC:1131	BTG anti-proliferation factor 2	ENSG00000159388	7832	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	12	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
112	BTG2	BTG2	HGNC:1131	BTG anti-proliferation factor 2	ENSG00000159388	7832	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	6	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
113	Bruton’s tyrosine kinase	BTK	HGNC:1133	Bruton tyrosine kinase	ENSG00000010671	695	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
114	SSTR3	SSTR3	HGNC:11332	somatostatin receptor 3	ENSG00000278195	6753	Human	Gene	29393496	Homo sapiens	Healthy			Human Retinal Pigment Epithelium cell lines	Human Retinal Pigment Epithelium cell lines	Cell	UVA-radiation	600		In vitro	No irradiation	0.5	Genomics	qRT-PCR	Up	retinal pigment epithelial cell	CL_0002586	Cell Ontology	
115	SSTR3	SSTR3	HGNC:11332	somatostatin receptor 3	ENSG00000278195	6753	Human	Gene	29393496	Homo sapiens	Healthy			Human Retinal Pigment Epithelium cell lines	Human Retinal Pigment Epithelium cell lines	Cell	UVA-radiation	600		In vitro	No irradiation	1	Genomics	qRT-PCR	Up	retinal pigment epithelial cell	CL_0002586	Cell Ontology	
116	SSTR4	SSTR4	HGNC:11333	somatostatin receptor 4	ENSG00000132671	6754	Human	Gene	29393496	Homo sapiens	Healthy			Human Retinal Pigment Epithelium cell lines	Human Retinal Pigment Epithelium cell lines	Cell	UVA-radiation	600		In vitro	No irradiation	0.5	Genomics	qRT-PCR	Up	retinal pigment epithelial cell	CL_0002586	Cell Ontology	
117	SSTR4	SSTR4	HGNC:11333	somatostatin receptor 4	ENSG00000132671	6754	Human	Gene	29393496	Homo sapiens	Healthy			Human Retinal Pigment Epithelium cell lines	Human Retinal Pigment Epithelium cell lines	Cell	UVA-radiation	600		In vitro	No irradiation	1	Genomics	qRT-PCR	Up	retinal pigment epithelial cell	CL_0002586	Cell Ontology	
118	SSTR5	SSTR5	HGNC:11334	somatostatin receptor 5	ENSG00000162009	6755	Human	Gene	29393496	Homo sapiens	Healthy			Human Retinal Pigment Epithelium cell lines	Human Retinal Pigment Epithelium cell lines	Cell	UVA-radiation	600		In vitro	No irradiation	0.5	Genomics	qRT-PCR	Up	retinal pigment epithelial cell	CL_0002586	Cell Ontology	
119	SSTR5	SSTR5	HGNC:11334	somatostatin receptor 5	ENSG00000162009	6755	Human	Gene	29393496	Homo sapiens	Healthy			Human Retinal Pigment Epithelium cell lines	Human Retinal Pigment Epithelium cell lines	Cell	UVA-radiation	600		In vitro	No irradiation	1	Genomics	qRT-PCR	Up	retinal pigment epithelial cell	CL_0002586	Cell Ontology	
120	STC2	STC2	HGNC:11374	stanniocalcin 2	ENSG00000113739	8614	Human	Gene	28211524	Homo sapiens	Caucasian		Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	72	Genomics	RNA-seq	Down	keratinocyte	CL_0000312	Cell Ontology	
121	KRS1MST2	STK3	HGNC:11406	serine/threonine kinase 39	ENSG00000104375	6788	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
122	STX8	STX8	HGNC:11443	syntaxin 8	ENSG00000170310	9482	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
123	STX8	STX8	HGNC:11443	syntaxin 8	ENSG00000170310	9482	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
124	SUCLG2	SUCLG2	HGNC:11450	succinate-CoA ligase GDP-forming beta subunit	ENSG00000172340	8801	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
125	SUCLG2	SUCLG2	HGNC:11450	succinate-CoA ligase GDP-forming beta subunit	ENSG00000172340	8801	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
126	BUB1	BUB1	HGNC:1148	BUB1 mitotic checkpoint serine/threonine kinase	ENSG00000169679	699	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	0.5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
127	BUB1	BUB1	HGNC:1148	BUB1 mitotic checkpoint serine/threonine kinase	ENSG00000169679	699	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
128	BUB1B	BUB1B	HGNC:1149	BUB1 mitotic checkpoint serine/threonine kinase B	ENSG00000156970	701	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	0.5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
129	BUB1B	BUB1B	HGNC:1149	BUB1 mitotic checkpoint serine/threonine kinase B	ENSG00000156970	701	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
130	GA733-1	TACSTD2	HGNC:11530	tumor associated calcium signal transducer 2	ENSG00000184292	4070	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
131	TATA-binding protein associated factor 30 kDa subunit	TAF10	HGNC:11543	TATA-box binding protein associated factor 10	ENSG00000166337	6881	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
132	SM22	TAGLN	HGNC:11553	transgelin	ENSG00000149591	6876	Human	Gene	18425358	Homo sapiens				Human skin fibroblasts	Human skin fibroblasts	Cell	UVB-radiation		100	In vitro	No irradiation	72	Genomics	RT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
133	TANK	TANK	HGNC:11562	TRAF family member associated NFKB activator	ENSG00000136560	10010	Human	Gene	18797132	Homo sapiens	Japanese			Blood	Total body irradiation except face and genital region	Tissue	UVB-radiation		3000	In vivo	No irradiation	24	Genomics	Microarray	Down	blood	UBERON_0000178	Uberon Ontology	
134	TBCD	TBCD	HGNC:11581	tubulin folding cofactor D	ENSG00000141556	6904	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
135	TBCD	TBCD	HGNC:11581	tubulin folding cofactor D	ENSG00000141556	6904	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
136	TBL1	TBL1X	HGNC:11585	transducin beta like 1 X-linked	ENSG00000101849	6907	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
137	TCEB2	ELOB	HGNC:11619	elongin B	ENSG00000103363	6923	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	18	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
138	TCEB2	ELOB	HGNC:11619	elongin B	ENSG00000103363	6923	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	24	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
139	elongin A	ELOA	HGNC:11620	elongin A	ENSG00000011007	6924	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
140	t-complex polypeptide 1	TCP1	HGNC:11655	t-complex 1	ENSG00000120438	6950	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
141	ELP4	ELP4	HGNC:1171	elongator acetyltransferase complex subunit 4	ENSG00000109911	26610	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
142	ELP4	ELP4	HGNC:1171	elongator acetyltransferase complex subunit 4	ENSG00000109911	26610	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
143	TFEC	TFEC	HGNC:11754	transcription factor EC	ENSG00000105967	22797	Human	Gene	19707549	Homo sapiens				Monocyte-derived Dendritic cells	Monocyte-derived Dendritic cells	Cell	UV radiation-General		40000	In vitro	No irradiation	6	Genomics	Microarray	Down	monocyte-derived dendritic cell	CL_0011031	Cell Ontology	
144	NOF1	MRPL49	HGNC:1176	mitochondrial ribosomal protein L49	ENSG00000149792	740	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
145	TGFb1	TGFB1	HGNC:11766	transforming growth factor beta 1	ENSG00000105329	7040	Human	Gene	12190876	Homo sapiens				Biopsy of exposed skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	48	Genomics	Northern blot	Up	skin of body	UBERON_0002097	Uberon Ontology	
146	TGFb1	TGFB1	HGNC:11766	transforming growth factor beta 1	ENSG00000105329	7040	Human	Gene	12190876	Homo sapiens				Biopsy of exposed skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	24	Genomics	Northern blot	Up	skin of body	UBERON_0002097	Uberon Ontology	
